address,x,y,zone,type
0,2,0,entangling,SLM
1,4,0,entangling,AOD
2,14,0,entangling,SLM
3,16,0,entangling,AOD
4,26,0,entangling,SLM
5,28,0,entangling,AOD
6,38,0,entangling,SLM
7,40,0,entangling,AOD
8,50,0,entangling,SLM
9,52,0,entangling,AOD
10,62,0,entangling,SLM
11,64,0,entangling,AOD
12,74,0,entangling,SLM
13,76,0,entangling,AOD
14,86,0,entangling,SLM
15,88,0,entangling,AOD
16,98,0,entangling,SLM
17,100,0,entangling,AOD
18,110,0,entangling,SLM
19,112,0,entangling,AOD
20,2,6,entangling,SLM
21,4,6,entangling,AOD
22,14,6,entangling,SLM
23,16,6,entangling,AOD
24,26,6,entangling,SLM
25,28,6,entangling,AOD
26,38,6,entangling,SLM
27,40,6,entangling,AOD
28,50,6,entangling,SLM
29,52,6,entangling,AOD
30,62,6,entangling,SLM
31,64,6,entangling,AOD
32,74,6,entangling,SLM
33,76,6,entangling,AOD
34,86,6,entangling,SLM
35,88,6,entangling,AOD
36,98,6,entangling,SLM
37,100,6,entangling,AOD
38,110,6,entangling,SLM
39,112,6,entangling,AOD
40,2,12,entangling,SLM
41,4,12,entangling,AOD
42,14,12,entangling,SLM
43,16,12,entangling,AOD
44,26,12,entangling,SLM
45,28,12,entangling,AOD
46,38,12,entangling,SLM
47,40,12,entangling,AOD
48,50,12,entangling,SLM
49,52,12,entangling,AOD
50,62,12,entangling,SLM
51,64,12,entangling,AOD
52,74,12,entangling,SLM
53,76,12,entangling,AOD
54,86,12,entangling,SLM
55,88,12,entangling,AOD
56,98,12,entangling,SLM
57,100,12,entangling,AOD
58,110,12,entangling,SLM
59,112,12,entangling,AOD
60,2,18,entangling,SLM
61,4,18,entangling,AOD
62,14,18,entangling,SLM
63,16,18,entangling,AOD
64,26,18,entangling,SLM
65,28,18,entangling,AOD
66,38,18,entangling,SLM
67,40,18,entangling,AOD
68,50,18,entangling,SLM
69,52,18,entangling,AOD
70,62,18,entangling,SLM
71,64,18,entangling,AOD
72,74,18,entangling,SLM
73,76,18,entangling,AOD
74,86,18,entangling,SLM
75,88,18,entangling,AOD
76,98,18,entangling,SLM
77,100,18,entangling,AOD
78,110,18,entangling,SLM
79,112,18,entangling,AOD
80,0,44,storage,SLM
81,6,44,storage,SLM
82,12,44,storage,SLM
83,18,44,storage,SLM
84,24,44,storage,SLM
85,30,44,storage,SLM
86,36,44,storage,SLM
87,42,44,storage,SLM
88,48,44,storage,SLM
89,54,44,storage,SLM
90,60,44,storage,SLM
91,66,44,storage,SLM
92,72,44,storage,SLM
93,78,44,storage,SLM
94,84,44,storage,SLM
95,90,44,storage,SLM
96,96,44,storage,SLM
97,102,44,storage,SLM
98,108,44,storage,SLM
99,114,44,storage,SLM
100,0,50,storage,SLM
101,6,50,storage,SLM
102,12,50,storage,SLM
103,18,50,storage,SLM
104,24,50,storage,SLM
105,30,50,storage,SLM
106,36,50,storage,SLM
107,42,50,storage,SLM
108,48,50,storage,SLM
109,54,50,storage,SLM
110,60,50,storage,SLM
111,66,50,storage,SLM
112,72,50,storage,SLM
113,78,50,storage,SLM
114,84,50,storage,SLM
115,90,50,storage,SLM
116,96,50,storage,SLM
117,102,50,storage,SLM
118,108,50,storage,SLM
119,114,50,storage,SLM
120,0,56,storage,SLM
121,6,56,storage,SLM
122,12,56,storage,SLM
123,18,56,storage,SLM
124,24,56,storage,SLM
125,30,56,storage,SLM
126,36,56,storage,SLM
127,42,56,storage,SLM
128,48,56,storage,SLM
129,54,56,storage,SLM
130,60,56,storage,SLM
131,66,56,storage,SLM
132,72,56,storage,SLM
133,78,56,storage,SLM
134,84,56,storage,SLM
135,90,56,storage,SLM
136,96,56,storage,SLM
137,102,56,storage,SLM
138,108,56,storage,SLM
139,114,56,storage,SLM
140,0,62,storage,SLM
141,6,62,storage,SLM
142,12,62,storage,SLM
143,18,62,storage,SLM
144,24,62,storage,SLM
145,30,62,storage,SLM
146,36,62,storage,SLM
147,42,62,storage,SLM
148,48,62,storage,SLM
149,54,62,storage,SLM
150,60,62,storage,SLM
151,66,62,storage,SLM
152,72,62,storage,SLM
153,78,62,storage,SLM
154,84,62,storage,SLM
155,90,62,storage,SLM
156,96,62,storage,SLM
157,102,62,storage,SLM
158,108,62,storage,SLM
159,114,62,storage,SLM
160,0,68,storage,SLM
161,6,68,storage,SLM
162,12,68,storage,SLM
163,18,68,storage,SLM
164,24,68,storage,SLM
165,30,68,storage,SLM
166,36,68,storage,SLM
167,42,68,storage,SLM
168,48,68,storage,SLM
169,54,68,storage,SLM
170,60,68,storage,SLM
171,66,68,storage,SLM
172,72,68,storage,SLM
173,78,68,storage,SLM
174,84,68,storage,SLM
175,90,68,storage,SLM
176,96,68,storage,SLM
177,102,68,storage,SLM
178,108,68,storage,SLM
179,114,68,storage,SLM
180,0,74,storage,SLM
181,6,74,storage,SLM
182,12,74,storage,SLM
183,18,74,storage,SLM
184,24,74,storage,SLM
185,30,74,storage,SLM
186,36,74,storage,SLM
187,42,74,storage,SLM
